



PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
4612790;"Centro Municipal de Mayores 'Acuario'";"";" Lunes a domingo: de 9 a 14 horas y de 16 a 20 horas  Horario de Verano: Lunes a domingo de 10 a 13,30 horas y de 17 a 21 horas ";"      Servicios      Animación sociocultural   Peluquería     Cafetería   Biblioteca     Voluntariado   Fisioterapia preventiva     Podología         Talleres manuales      Manualidades   Punto de cruz     Pintura al óleo   Cocina con microondas      Talleres culturales      Cultura general   Literatura     Música coral   Informática     Rondalla   Otros      Talleres de ejercicio físico      Gimnasia   Salud y cuidados personales     Baile / sevillanas   Caminar / senderismo     Baile de salón   Otros     Actividades de turismo      Excursiones quincenales         Actividades culturales      Jornadas / conferencias   Otros     Visitas a museos, exposiciones         Actividades de ocio      Baile   Fiestas     Otras         Otras actividades      Encuentros con otros colectivos        ";" Bus: 105, 115 ";"  Requisitos para ser socio:   Ser titular de la tarjeta  madridmayor.es . Para solicitar esta tarjeta vea la  información relacionada . ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4de44c02bbfa3110VgnVCM1000000b205a0aRCRD";"ACUARIO";"CALLE";"V";"27";"1ª";"";"";"";"MADRID";"MADRID";"28042";"CASCO H.BARAJAS";"BARAJAS";"450972";"4480827";"40.474801968086524";"-3.5796914517468617";"913 010 343";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosMayores"; 
72864;"Centro Municipal de Mayores 'Alfonso XII'";"";" Lunes a viernes: de 9 a 21 horas   Fines de Semana: de 10 a 14 horas y de 16 a 21 horas ";"      Servicios      Biblioteca   Peluquería     Cafetería   Animación sociocultural     Comedor   Voluntariado     Podología         Talleres de ejercicio físico      Gimnasia   Baile de salón     Taichí   Relajación     Yoga   Memoria     Actividades de turismo      Excursiones mensuales         Actividades culturales      Jornadas / conferencias   Otros     Visitas a museos, exposiciones         Actividades de ocio      Baile   Comidas     Fiestas   Otras     Zona wifi";"Bus: 601 ";"  Requisitos para ser socio:   Ser titular de la tarjeta  madridmayor.es . Para solicitar esta tarjeta vea la  información relacionada . ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=86bb3d232e91f010VgnVCM1000000b205a0aRCRD";"MIRA EL RIO";"CALLE";"NUM";"4";"";"";"";"";"MADRID";"MADRID";"28048";"EL PARDO";"FUENCARRAL-EL PARDO";"434217";"4485937";"40.51967355005567";"-3.777870156722298";"913 762 060";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosMayores"; 
11745;"Centro Municipal de Mayores 'Alto Arenal'";"";" Lunes a viernes: de 08:30 a 21 horas   Fines de semana y festivos: de 10:00 a 20:00 horas  Las actividades que se desarrollan están sujetas a diferentes horarios según la programación del centro ";"      Servicios      Animación sociocultural   Peluquería     Cafetería   Biblioteca     Voluntariado         Talleres manuales      Encaje de Bolillos   Pintura en tela     Pintura al óleo   Otros      Talleres culturales      Cultura general   Rondalla     Inglés   Informática      Talleres de ejercicio físico      Baile / sevillanas   Gimnasia     Baile de salón        Actividades de turismo      Excursiones quincenales   Excursiones diarias     Excursiones semanales         Actividades culturales      Jornadas / conferencias   Visitas a museos, exposiciones      Actividades de ocio      Baile   Comidas     Fiestas        ";"Bus: 54, 58, 103, 143 ";"  Requisitos para ser socio:   Ser titular de la tarjeta  madridmayor.es . Para solicitar esta tarjeta vea la  información relacionada . ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1bc055004e91f010VgnVCM2000000c205a0aRCRD";"SIERRA SALVADA";"CALLE";"V";"32";"";"";"";"";"MADRID";"MADRID";"28038";"PORTAZGO";"PUENTE DE VALLECAS";"445049";"4471282";"40.388443802672825";"-3.64873546484814";"917 863 653";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosMayores"; 
11720;"Centro Municipal de Mayores 'Antonio Machado'";"";"Lunes a viernes: de 9:30 a 13:30 y de 16:00 a 20:00 h.";"     Servicios      Animación sociocultural   Voluntariado     Podología         Talleres manuales      Manualidades   Alfombras     Pintura al óleo   Marquetería      Talleres culturales      Cultura general   Informática     Comunicación   Rondalla      Talleres de ejercicio físico      Taichí   Baile / sevillanas     Yoga        Actividades de turismo      Excursiones quincenales         Actividades Culturales      Jornadas / conferencias   Visitas a museos, exposiciones      Actividades de ocio      Baile   Fiestas     Otras       Zona wifi";"Bus: 4, 48";"  Requisitos para ser socio:   Ser titular de la tarjeta  madridmayor.es . Para solicitar esta tarjeta vea la  información relacionada . ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c73d66051361c010VgnVCM1000000b205a0aRCRD";"SAN ROMAN DEL VALLE";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28037";"ARCOS";"SAN BLAS-CANILLEJAS";"447365";"4474799";"40.42027705095574";"-3.621741078700336";"913 135 296 / 917 609 942";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosMayores"; 
6166668;"Centro Municipal de Mayores 'Antón Martín'";"";" Invierno: de 9 a 20,30 horas.  Verano: de 9 a 20 horas. ";" Ofrece actividades socioculturales, ocupacionales, artísticas y recreativas.  Biblioteca, bar-cafetería, comedor, talleres, sala polivalente, podología, peluquería, gimnasio y espacios preventivos.  Zona wifi ";" Bus: 26, 32, 6  Metro: Tirso de Molina, Antón Martín ";"  Requisitos para ser socio:   Ser titular de la tarjeta  madridmayor.es . Para solicitar esta tarjeta vea la  información relacionada . ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c5a8ff0f9ae32310VgnVCM1000000b205a0aRCRD";"CABEZA";"CALLE";"V";"14";"";"";"";"";"MADRID";"MADRID";"28012";"EMBAJADORES";"CENTRO";"440470";"4473913";"40.41182992691991";"-3.702928583465715";"915 273 119";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosMayores"; 
11697;"Centro Municipal de Mayores 'Aravaca'";"";"Lunes a domingo: de 10 a 21 horas ";"      Servicios      Animación sociocultural   Peluquería     Cafetería   Biblioteca     Comedor   Fisioterapia preventiva     Podología   Voluntariado      Talleres manuales      Manualidades   Pintura al óleo      Talleres culturales      Teatro   Memoria     Informática   Animación sociocultural      Talleres de ejercicio físico      Gimnasia   Risoterapia     Taichí   Terapia ocupacional     Baile / sevillanas   Baile de salón     Actividades de turismo      Excursiones         Actividades culturales      Jornadas / conferencias   Visitas a museos, exposiciones      Actividades de ocio      Baile   Comidas     Fiestas        ";"Bus: 160";"  Requisitos para ser socio:   Ser titular de la tarjeta  madridmayor.es . Para solicitar esta tarjeta vea la  información relacionada . ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1e5d66051361c010VgnVCM1000000b205a0aRCRD";"CAROLI";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28023";"ARAVACA";"MONCLOA-ARAVACA";"433577";"4479179";"40.45874508749736";"-3.784715283550357";"913 579 410";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosMayores"; 
190713;"Centro Municipal de Mayores 'Arroyo Belincoso'";"";"Lunes a domingo: de 10 a 21 horas";"      Servicios      Animación sociocultural   Peluquería     Cafetería   Biblioteca     Comedor   Fisioterapia preventiva     Podología   Asesoramiento jurídico      Talleres manuales      Manualidades   Marquetería     Pintura al óleo   Corte y confección     Pintura en tela   Fontanería     Ganchillo   Electricidad     Macramé         Talleres culturales      Alfabetización   Inglés     Ortografía   Francés     Cultura general   Música coral     Teatro   Rondalla     Informática         Talleres de ejercicio físico      Gimnasia   Danzas y baile     Taichí   Toma de tensión     Yoga   Terapia Ocupacional     Baile / sevillanas   Memoria     Baile de salón   Yoga     Actividades de Turismo      Excursiones quincenales   Excursiones de un día     Excursiones semanales         Actividades Culturales      Jornadas / conferencias   Otros     Visitas a museos, exposiciones         Actividades de Ocio      Baile   Invitaciones a socios     Fiestas   Semana del mayor     ";" Metro: Vinateros  Bus: 30, 32 ";"  Requisitos para ser socio:   Ser titular de la tarjeta  madridmayor.es . Para solicitar esta tarjeta vea la  información relacionada . ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=78c3906420a40110VgnVCM1000000b205a0aRCRD";"ARROYO BELINCOSO";"CALLE";"V";"13";"";"";"";"";"MADRID";"MADRID";"28030";"MEDIA LEGUA";"MORATALAZ";"444702";"4473660";"40.40984323076443";"-3.653030570418376";"913 282 656";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosMayores"; 
22618;"Centro Municipal de Mayores 'Arturo Pajuelo'";"";"Lunes a domingo: de 10 a 21 horas.";"     Servicios      Animación sociocultural   Peluquería     Cafetería   Biblioteca     Comedor   Voluntariado     Podología         Talleres manuales      Manualidades   Bisutería     Pintura al óleo   Variedades     Pintura en tela   Otros      Talleres culturales      Alfabetización   Música coral     Teatro   Rondalla     Cultura general         Talleres de ejercicio físico      Baile / sevillanas   Caminar / senderismo     Baile de salón   Taichí     Actividades de turismo      Excursiones de un día         Actividades culturales      Jornadas / conferencias   Visitas a museos, exposiciones      Actividades de ocio      Baile   Fiestas    ";"Bus: 6, 60";"  Requisitos para ser socio:   Ser titular de la tarjeta  madridmayor.es . Para solicitar esta tarjeta vea la  información relacionada . ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f791e35bba51c010VgnVCM2000000c205a0aRCRD";"SEGURA";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28041";"ORCASITAS";"USERA";"439292";"4469026";"40.36772020463669";"-3.716345072477254";"913 412 030";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosMayores"; 
57828;"Centro Municipal de Mayores 'Ascao'";"";"Lunes a domingo: de 9 a 21 horas ";"      Servicios      Animación sociocultural   Peluquería     Cafetería   Biblioteca     Comedor   Fisioterapia preventiva     Podología   Voluntariado     Talleres manuales      Manualidades   Encaje de bolillos     Pintura al óleo   Marquetería     Pintura en tela   Otros     Punto de cruz         Talleres culturales      Alfabetización   Cultura general     Comunicación   Teatro     Inglés   Otros     Francés         Talleres de ejercicio físico      Gimnasia   Baile / sevillanas     Taichí   Salud y cuidados personales     Yoga   Relajación     Baile de salón        Actividades de Turismo      Excursiones trimestrales         Actividades Culturales      Jornadas / conferencias   Otros     Visitas a museos, exposiciones         Otras Actividades      Falso esmalte   Memoria     Taracea   Mente activa     Zona wifi";" Bus: 28  Metro: Ascao ";"  Requisitos para ser socio:   Ser titular de la tarjeta  madridmayor.es . Para solicitar esta tarjeta vea la  información relacionada . ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bd5a8ed67151c010VgnVCM2000000c205a0aRCRD";"ASCAO";"CALLE";"V";"6";"";"";"";"";"MADRID";"MADRID";"28017";"PUEBLO NUEVO";"CIUDAD LINEAL";"445709";"4475844";"40.42958439423385";"-3.6413497414718736";"914 061 466";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosMayores"; 
11757;"Centro Municipal de Mayores 'Barrio Aeropuerto'";"";"Lunes a domingo: de 10 a 21 horas ";"      Servicios      Animación sociocultural   Voluntariado     Cafetería   Biblioteca     Podología         Talleres manuales      Manualidades   Punto de cruz     Pintura al óleo   Otros      Talleres Culturales      Cultura general   Rondalla     Literatura   Informática     Música coral   Otros      Talleres de ejercicio físico      Gimnasia   Salud y cuidados personales     Taichí   Relajación     Baile de salón   Otros     Actividades de turismo      Excursiones quincenales         Actividades culturales      Jornadas / conferencias   Otros     Visitas a museos, exposiciones         Actividades de Ocio      Baile   Fiestas     Otras         Otras actividades      Grupos de acogida a nuevos socios        ";" Bus: 114 ";"  Requisitos para ser socio:   Ser titular de la tarjeta  madridmayor.es . Para solicitar esta tarjeta vea la  información relacionada . ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=baad66051361c010VgnVCM1000000b205a0aRCRD";"MEDINA DE POMAR";"CALLE";"V";"25";"";"";"";"";"MADRID";"MADRID";"28042";"AEROPUERTO";"BARAJAS";"450541";"4478403";"40.45293948841241";"-3.5845864547289876";"913 293 264";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosMayores"; 
