



PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
12424;"Mercado municipal de Alto de Extremadura";" El mercado de Alto de Extremadura, construido en 1974, cuenta desde diciembre de 2011 con unas instalaciones e imagen totalmente renovada, que han permitido la rehabilitación integral de las estructuras, las instalaciones y la oferta comercial y de servicios del mercado. Las instalaciones del mercado ofrecen a los vecinos del barrio Puerta del Ángel del distrito de Latina, a través de sus más de treinta &ldquo;puestos tradicionales&rdquo; ubicados en la planta baja, y de un moderno supermercado de Carrefour, ubicado en la planta primera, una amplia y variada oferta comercial de alimentación, que abarca desde frutas a pescados, pasando por todo tipo de carnes y derivados, aves, huevos, caza, leche y derivados, embutidos, quesos, productos de panadería y repostería ";" Invierno: de lunes a viernes de 9 a 14 y de 17 a 20:30 horas. Sábado de 9 a 14 horas. 
 Verano (de junio a septiembre, ambos inclusive): de lunes a viernes de 9 a 14 y de 17:30 a 20:30 horas. Sábado de 9 a 14 horas. ";"";" Metro: Alto de Extremadura (línea 6) 
 Bus: 31, 33, 36, 39, 65, 119, 138 ";"";"1";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=75e4e1635561c010VgnVCM1000000b205a0aRCRD";"JESUITAS";"PASEO";"V";"44";"";"";"";"";"MADRID";"MADRID";"28011";"PUERTA DEL ANGEL";"LATINA";"437731";"4473507";"40.40797174906472";"-3.7351687013396324";"914 794 751";"";"info@mercadoaltoextremadura.es";"/contenido/entidadesYorganismos/Comercios/Mercados"; 
12418;"Mercado municipal de Antón Martín";" Inaugurado en el año 1941, el mercado de Antón Martín, situado en el barrio de Embajadores, junto al Cine Doré, sede de la Filmoteca Española, cuenta con más de 80 locales, entre puestos interiores y tiendas exteriores, se puede encontrar toda clase de alimentos (carnes, pescados, frutas y hortalizas, pan, pasteles&hellip;.) así como una variada oferta de productos no alimentarios y una escuela de danza. 
 Destaca su extraordinaria y variada oferta gastronómica y de comida para llevar. 
   Para más información, pinche aquí.   
   ";"   
 
  Establecimientos del mercado tradicional:   de lunes a viernes de 9 a 21 horas y sábados de 9 a 15 horas. 
  Horario de restaruación:  de lunes a viernes de 9 a 23:30 horas. Sábado de 15 a 18 horas (acceso por Duque de Fernán Núñez) 
 
   
   ";" Zona Wifi ";" Metro: Anton Martin (línea 1) 
 Bus: 6, 26, 32 ";"";"1";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cb05e1635561c010VgnVCM1000000b205a0aRCRD";"SANTA ISABEL";"CALLE";"V";"5";"";"";"";"";"MADRID";"MADRID";"28012";"EMBAJADORES";"CENTRO";"440819";"4473865";"40.411422452721546";"-3.6988110198857145";"913 690 620";"";"mdoantonmartin@hotmail.com";"/contenido/entidadesYorganismos/Comercios/Mercados"; 
12426;"Mercado municipal de Argüelles";"62 años después de su inauguración, en 1949, y tras la ejecución en el año 2011, de la remodelación integral de sus instalaciones, el emblemático mercado de Arg&uuml;elles, es uno de los tres con los que cuenta el distrito de Moncloa Aravaca, prestando servicio a los ciudadanos en el madrileño barrio del que toma su nombre. Las nuevas instalaciones del mercado, del que se ha recuperado la fachada original, ofrecen a los vecinos una amplia y variada oferta de alimentación, tanto en sus puestos de mercado tradicional (fruterías, carnicerías, pescaderías, charcuterías, panadería, pollería&hellip;) situados en planta baja, como en el supermercado Ahorramás, ubicado en planta semisótano, al que se puede acceder sin traba alguna gracias al nuevo ascensor que se ha instalado en el chaflán de las calles Altamirano y Tutor. La oferta alimentaria se complementa con los comercios y servicios no alimentarios de las 5 tiendas exteriores, 2 con acceso por la calle Altamirano y 3 por la calle Tutor. Asimismo, en el mercado se mantiene la ya clásica actividad de enseñanza de música en la academia especializada situada en la planta segunda";" Invierno: de lunes a viernes de 9 a 14 y de 17 a 20 horas. Sábado de 9 a 15 horas.  Verano (de junio a septiembre, ambos inclusive): de lunes a viernes de 9 a 14:30 y de 17 a 20 horas. Sábado de 9 a 15 horas. ";"";" Metro: Arg&uuml;elles (línea 3, 4 y 6). Salida calle Altamirano.  Bus: 1, 21, 44, 74, 82, 83, 132, 133, C, 21 ";"";"1";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1235e1635561c010VgnVCM1000000b205a0aRCRD";"ALTAMIRANO";"CALLE";"V";"7";"";"";"";"";"MADRID";"MADRID";"28008";"ARGUELLES";"MONCLOA-ARAVACA";"439217";"4476073";"40.431197427341125";"-3.7179024231789466";"915 443 015";"";"";"/contenido/entidadesYorganismos/Comercios/Mercados"; 
12405;"Mercado municipal de Bami";"  En obras.  
 El Mercado de Bami, construido en el año 1954, se encuentra ubicado en la plaza del mismo nombre, muy próximo a la calle de Alcalá, principal eje comercial del distrito de Ciudad Lineal ";" Invierno: de lunes a viernes de 9 a 14 y de 17 a 20 horas. Sábados de 9 a 14 horas. 
 Verano (de abril a septiembre): de lunes a viernes de 9 a 14 y de 17:30 a 20:30 horas. Sábados de 9 a 14 horas. ";"";" Metro: Carmen (línea 5) 
 Bus: 38, 106, 110, 146, 210. ";"";"1";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=be75e1635561c010VgnVCM1000000b205a0aRCRD";"BAMI";"PLAZA";"V";"32";"";"";"";"";"MADRID";"MADRID";"28017";"VENTAS";"CIUDAD LINEAL";"444519";"4475976";"40.430694913121776";"-3.655377903084208";"914 013 839 ";"";"";"/contenido/entidadesYorganismos/Comercios/Mercados"; 
12393;"Mercado municipal de Barceló";" Aunque el primitivo mercado de Barceló fue inaugurado en 1956, recientemente se ha edificado un nuevo mercado, integrado en el Centro Polivalente Barceló, inaugurado en diciembre de 2014. Por su situación, en el entorno de Malasaña, Fuencarral y Hortaleza, en el barrio de Justicia, es un mercado de gran sabor popular.   Cuenta con 103 establecimientos comerciales, distribuidos en tres plantas, en los que se presenta una oferta atractiva.   Este mercado está dotado de unas instalaciones modernas para garantizar a sus clientes la calidad de los productos comercializados, e integra visualmente las instalaciones destinadas al mercado tradicional, con otros usos, como son el deportivo, biblioteca o aparcamientos. ";" De lunes a viernes de 9 a 14 y de 17:30 a 20:30 horas. Sábados de 9 a 15 horas. ";"";" Metro: Tribunal (líneas 1, 10), Alonso Martínez (4, 5 y 10) y Bilbao (1 y 4)  Bus: 3, 21, 37, 40, 147, 149 ";"";"1";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=05a5e1635561c010VgnVCM1000000b205a0aRCRD";"BARCELO";"CALLE";"V";"6";"";"";"";"";"MADRID";"MADRID";"28004";"JUSTICIA";"CENTRO";"440793";"4475573";"40.42680707802062";"-3.6992767323438382";"914 475 550";"";"accbarcelo@gmail.com";"/contenido/entidadesYorganismos/Comercios/Mercados"; 
12413;"Mercado municipal de Chamartín";"Ubicado en la esquina de las calles Potosí y Bolivia, el mercado de Chamartín, inaugurado en el año 1962, se ha consolidado a lo largo de sus casi 60 años de funcionamiento continuo, como uno de los principales referentes de la red de mercados de Madrid, tanto por la calidad de su oferta de productos y servicios. El mercado, cuyo exterior ha cobrado una imagen singular tras el acristalamiento de su fachada, alberga más de 70 establecimientos, entre puestos interiores y tiendas, en los que se puede encontrar la más variada y selecta oferta de carnes y derivados, pescados y mariscos (frescos y congelados), embutidos, quesos y jamones, aves, frutas y verduras, panes y productos de pastelería, encurtidos y variantes, cafés, aceites&hellip;., además de productos de decoración, ropa y complementos, flores, plantas, artículos para el hogar&hellip; Cuenta con aparcamiento para clientes con acceso directo al mercado.";"  Invierno:  de lunes a viernes de 9 a 14 y de 17 a 20 horas. Sábado de 9 a 14 horas.   Verano  (julio y agosto): de lunes a viernes de 9 a 14 y de 17:30 a 20 horas. Sábado de 9 a 14 horas. ";"";" Metro: Colombia (líneas 8, 9)  Bus: 7, 11, 14, 16, 29, 40, 51, 52, 87 ";"";"1";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5bc5e1635561c010VgnVCM1000000b205a0aRCRD";"BOLIVIA";"CALLE";"V";"9";"";"";"";"";"MADRID";"MADRID";"28016";"HISPANOAMERICA";"CHAMARTIN";"442619";"4478945";"40.457311867437326";"-3.678056977192461";"914 575 350";"";"mercadodechamartin@mercadodechamartin.com";"/contenido/entidadesYorganismos/Comercios/Mercados"; 
12422;"Mercado municipal de Chamberí";" Inaugurado en el año 1943, este tradicional mercado, con acceso por las calles Alonso Cano, García de Paredes y Viriato, se ha consolidado a lo largo de sus casi 70 años de funcionamiento continuo, como uno de los principales referentes de la red de mercados de Madrid, tanto por la calidad como por la variedad de su oferta de productos y servicios. En los puestos ubicados en la planta baja del mercado y en las tiendas exteriores del mismo se puede encontrar la más variada y selecta oferta de carnes y derivados, pescados y mariscos (frescos y congelados), embutidos, quesos y jamones, aves, frutas y verduras, panes y productos de pastelería, encurtidos y variantes, cafés, aceites&hellip;, además de productos de decoración, ropa y complementos, flores, plantas, artículos para el hogar, etc. En la planta primera, se ubica el gimnasio, que cuenta con las más modernas instalaciones para el desarrollo de su actividad, incluida una piscina. El mercado dispone de aparcamiento para clientes con acceso directo al mercado. ";" De lunes a viernes de 9:30 a 14:30 y de 17:30 a 20:30 horas. Sábado de 9:30 a 14:30 horas. ";"";" Metro: Iglesia (línea 1) , Alonso Cano (línea 7). 
 Bus: 5, 12, 16, 61. ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a1f5e1635561c010VgnVCM1000000b205a0aRCRD";"ALONSO CANO";"CALLE";"V";"10";"";"";"";"";"MADRID";"MADRID";"28010";"ALMAGRO";"CHAMBERI";"440921";"4476615";"40.43620300971715";"-3.6978649027841857";"914 469 574";"";"mercadodechamberi@gmail.com.";"/contenido/entidadesYorganismos/Comercios/Mercados"; 
12414;"Mercado municipal de Diego de León";" Situado en la misma calle que le da su nombre, el Mercado de Diego de León, al servicio de la ciudad desde 1939, es uno de los tres mercados municipales con que cuenta el distrito de Salamanca. Se dedica principalmente a la venta de productos frescos de alimentación de todas las especialidades a través de sus locales tradicionales.  Además de los puestos dedicados a llenar la nevera y la despensa, en su interior encontramos otras tiendas especializadas donde comprar artículos de moda y complementos, hacer copias de llaves o encargar arreglos de ropa, así como un par de cafeterías donde tomar un café antes de volver a casa con la compra hecha. ";"  Invierno:  de lunes a viernes de 9 a 14 y de 17 a 20 horas. Sábado de 9 a 14 horas.   Verano  (21 de julio a 21 de septiembre, salvo agosto de 9 a 14 horas): de lunes a viernes de 9 a 14 y de 17:30 a 20:30 horas. Sábado de 9 a 14 horas. ";"";" Metro: Nuñez de Balboa (líneas 5, 9)  Bus: 9, 16, 19, 51, 61, 74, C. ";"";"1";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f716e1635561c010VgnVCM1000000b205a0aRCRD";"DIEGO DE LEON";"CALLE";"V";"26";"";"";"";"";"MADRID";"MADRID";"28006";"CASTELLANA";"SALAMANCA";"442225";"4476444";"40.43475434372196";"-3.6824756273454726";"917 030 405";"";"gerente@mercadodiegodeleon.es";"/contenido/entidadesYorganismos/Comercios/Mercados"; 
12433;"Mercado municipal de Doña Carlota";" El mercado de Doña Carlota es uno de los cuatro mercados municipales con que cuenta el distrito de Puente de Vallecas.  Este mercado, inaugurado en 1962, ha sido objeto en el año 2015 de una remodelación y reestructuración comercial integral. Los puestos comerciales tradicionales se han reubicando en la planta baja y en la planta primera se ha instalado una mediana superficie, lo que ha supuesto una ampliación de la oferta comercial para los vecinos  Al mismo tiempo, se han abordado las obras necesarias para hacer del mercado un espacio accesible a través de la adecuación de los tres accesos de que dispone, la instalación de un ascensor para comunicar las dos plantas y la habilitación de un aseo para minusválidos  El mercado sigue contando con la oferta comercial tradicional de pescaderías, fruterías y verdulerías, carnicerías, panaderías, tiendas de ultramarinos, cafeterías, calzado, fotografía y de otras especialidades, tanto alimentarias como no alimentarias, haciendo del mercado un punto de reunión, conversación y compra para los vecinos del barrio. ";"  Invierno    De lunes a viernes de 9 a 14 y de 17 a 20 horas  Sábados de 9 a 14 horas    Verano  (desde el primer lunes de marzo hasta finales de septiembre)   De lunes a viernes de 9 a 14 y de 17:30 a 20:30 horas  Sábado de 9 a 14 horas  ";"";"Bus: 8, 113, 141";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4e36e1635561c010VgnVCM1000000b205a0aRCRD";"DOCTOR LOZANO";"CALLE";"V";"16";"";"";"";"";"MADRID";"MADRID";"28038";"NUMANCIA";"PUENTE DE VALLECAS";"444126";"4472920";"40.4031383496021";"-3.6597537009742824";"915 522 940";"";"mercado.doñacarlota@ono.com";"/contenido/entidadesYorganismos/Comercios/Mercados"; 
12400;"Mercado municipal de Guillermo de Osma";"Inaugurado, en el año 1970, entre los años 2006 y 2008 fue objeto de obras de remodelación que han permitido la modernización y mejora de sus instalaciones y servicios. Este mercado, alberga puestos &ldquo;de toda la vida&rdquo; en los que los vecinos pueden encontrar toda clase de alimentos (carnes, pescados, frutas y hortalizas, pan, pasteles&hellip;.) así como una variada oferta de productos no alimentarios y servicios.";"  Invierno : de lunes a viernes de 9 a 14 y de 17 a 20 horas. Sábados de 9 a 14 horas.   Verano  (mayo a octubre, ambos inclusive): de lunes a viernes de 9 a 14 y de 17:30 a 20:30 horas. Sábados de 9 a 14 horas ";"Zona Wifi";" Metro: Legazpi (líneas 3 y 6)   Bus: 6 , 8 , 18 , 19 , 45 , 47 , 59 , 62 , 76 , 78 , 85 , 86 , 148 , 247. ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ea86e1635561c010VgnVCM1000000b205a0aRCRD";"MIGUEL ARREDONDO";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28045";"CHOPERA";"ARGANZUELA";"441042";"4472034";"40.3949437306698";"-3.6960129848486107";"915 172 956";"";"guillermodeosma@yahoo.es";"/contenido/entidadesYorganismos/Comercios/Mercados"; 
