



PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
84763;"Centro Comunitario Casino de la Reina";"";" 
  De apertura    
 
 De lunes a viernes de 8:30 a 21:30 horas 
 Sábados de 10 a 15 horas y de 16 a 21:30 horas 
 Domingos cerrado. 
 
 
  De atención de los Trabajadores Sociales Comunitarios (no es necesaria cita previa) 
 
 Lunes a jueves de 9 a 19 horas 
 Viernes de 9 a 14 horas 
 Julio y agosto de 9 a 15 horas. 
 
 
 ";" 
 Orientación sobre recursos sociales a vecinos. 
 Lugar de encuentro y espacio de trabajo compartido de los agentes sociales que trabajan en la cobertura de las necesidades sociales del distrito Centro. 
 Información y asesoramiento a asociaciones y colectivos para la puesta en marcha de actividades sociales. 
 Talleres grupales gratuitos realizados por la Administración Pública y/o asociaciones, dirigidos a menores, jóvenes, familias y adultos. 
 Apoyo en el desarrollo de proyectos sociales, ofreciendo acompañamiento técnico y facilitando el uso de espacios. 
 ";" Metro: Embajadores 
 BUS: 27 , 34 , 36 , 41 , 47 , 60 , 78 , 116 , 118 , 119 , 148 
 Renfe: Embajadores           ";" Actividades y talleres grupales. 
 Beneficiarios: Vecinos y asociaciones del Distrito Centro ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=326f38d60b41c010VgnVCM2000000c205a0aRCRD";"CASINO";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28005";"EMBAJADORES";"CENTRO";"440323";"4473355";"40.406792648617134";"-3.7046086019457167";"91 539 63 10";"";"cccreina@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
11962;"Centro de Servicios Sociales Badalona";" Para evitarle esperas innecesarias y prestarle una atención de calidad, es necesario  solicitar cita previa , salvo en los casos de urgencia. Puede solicitar cita previa a través de los siguientes canales: 
 
 En el  Centro de Servicios Sociales : presencial o telefónicamente de lunes a viernes en horario de 9 a 14 horas. 
 A través de los  canales de Línea   Madrid: 
 
 En línea:  Servicio de Cita Previa   
 Presencial: en las  Oficinas de Atención al Ciudadano . 
 Telefónica: a través del 010 o del 915298210 (consulte coste de la llamada en la  página de información del 010 ) 
 
 
 ";" 
  Atención al público : de lunes a viernes de 9 a 13 y de 15 a 19 horas, con petición de cita previa. 
 ";" 
 Información, orientación y asesoramiento sobre derechos y recursos sociales. 
 Tramitación y gestión de servicios sociales municipales (ayudas a domicilio, teleasistencia, centros de día municipales, pisos tutelados,  etc. ) y prestaciones económicas necesarias en la intervención social. 
 Gestión y tramitación de servicios y prestaciones de la Comunidad de Madrid (Dependencia, residencias de mayores, discapacitados, mujer, menores,  etc. ) Renta Mínima de Inserción (RMI) y diferentes prestaciones económicas de inserción social. 
 Información y gestión de los programas de prevención dirigidos a menores, adolescentes, adultos, mayores,  etc.  
 ";" Metro: Fuencarral (línea 10) 
 Bus: 66, 125, 137 y 178 ";"  Ambito de Actuación  
 
 Barrio Pilar (excepto algunas calles a consultar en el Centro de Servicios Sociales) 
 Barrio La Paz 
 Barrio Valverde 
 Barrio Mirasierra (excepto algunas calles a consultar en el Centro de Servicios Sociales) 
 Barrio El Goloso 
 
         ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7e42d4985261c010VgnVCM1000000b205a0aRCRD";"BADALONA";"CALLE";"NUM";"122";"";"";"";"";"MADRID";"MADRID";"28034";"VALVERDE";"FUENCARRAL-EL PARDO";"441072";"4482983";"40.49357929928593";"-3.696677139485103";"917 355 510 (Centralita) / 917 355 511 (Cita previa)";"";"cssbadalona@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
11977;"Centro de Servicios Sociales Calahorra";" Para evitarle esperas innecesarias y prestarle una atención de calidad, es necesario  solicitar cita previa , salvo en los casos de urgencia. Puede solicitar cita previa a través de los siguientes canales:   En el  Centro de Servicios Sociales : presencial o telefónicamente de lunes a viernes en horario de 9 a 14 horas.  A través de los  canales de Línea   Madrid:    En línea:  Servicio de Cita Previa    Presencial: en las  Oficinas de Atención al Ciudadano .  Telefónica: a través del 010 o del 915298210 (consulte coste de la llamada en la  página de información del 010 )    ";"   Atención al público : de lunes a viernes de 9 a 13 y de 15 a 19 horas, con petición de cita previa*     *La atención en horario de tarde, de 15 a 19 horas, se realiza, para todo el distrito, en Centro Servicios Sociales &quot;Valdebernardo&quot; situado en la C/ Ladera de los Almendros, 6.  ";"  Información, orientación y asesoramiento sobre derechos y recursos sociales.  Tramitación y gestión de servicios sociales municipales (ayudas a domicilio, teleasistencia, centros de día municipales, pisos tutelados,  etc. ) y prestaciones económicas necesarias en la intervención social.  Gestión y tramitación de servicios y prestaciones de la Comunidad de Madrid (Dependencia, residencias de mayores, discapacitados, mujer, menores,  etc.  ) Renta Mínima de Inserción (RMI) y diferentes prestaciones económicas de inserción social.  Información y gestión de los programas de prevención dirigidos a menores, adolescentes, adultos, mayores,  etc.   ";" Metro: Vicálvaro (línea 9)  Bus: 4, 100, 106, 130, E3 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=11b966051361c010VgnVCM1000000b205a0aRCRD";"CALAHORRA";"CALLE";"V";"11B";"";"";"";"";"MADRID";"MADRID";"28032";"AMBROZ";"VICALVARO";"448118";"4473303";"40.406847513994755";"-3.6127431819124416";"917 753 150";"";"csscalahorra@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
11978;"Centro de Servicios Sociales Concepción Arenal";" Para evitarle esperas innecesarias y prestarle una atención de calidad, es necesario  solicitar cita previa , salvo en los casos de urgencia. Puede solicitar cita previa a través de los siguientes canales: 
 
 En el  Centro de Servicios Sociales : presencial o telefónicamente de lunes a viernes en horario de 9 a 14 horas. 
 A través de los  canales de Línea   Madrid: 
 
 En línea:  Servicio de Cita Previa   
 Presencial: en las  Oficinas de Atención al Ciudadano . 
 Telefónica: a través del 010 o del 915298210 (consulte coste de la llamada en la  página de información del 010 ) 
 
 
 ";" 
  Atención al público : de lunes a viernes de 9 a 13 y de 15 a 19 horas, con petición de cita previa. 
 ";" 
 Información, orientación y asesoramiento sobre derechos y recursos sociales. 
 Tramitación y gestión de servicios sociales municipales (ayudas a domicilio, teleasistencia, centros de día municipales, pisos tutelados,  etc. ) y prestaciones económicas necesarias en la intervención social. 
 Gestión y tramitación de servicios y prestaciones de la Comunidad de Madrid (Dependencia, residencias de mayores, discapacitados, mujer, menores,  etc. ) Renta Mínima de Inserción (RMI) y diferentes prestaciones económicas de inserción social. 
 Información y gestión de los programas de prevención dirigidos a menores, adolescentes, adultos, mayores,  etc.  
 ";" Metro: Canillas (línea 4), Mar de Cristal (líneas 4 y 8) 
 Bus: 73 ";"  Ambito de Actuación  
 
 Barrio Palomas 
 Barrio Piovera 
 Barrio Canillas 
 Barrio Pinar del Rey 
 Barrio Apóstol Santiago 
 Barrio Valdefuentes 
 
        ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ca8966051361c010VgnVCM1000000b205a0aRCRD";"JAVIER DEL QUINTO";"CALLE";"V";"12";"";"";"";"";"MADRID";"MADRID";"28043";"CANILLAS";"HORTALEZA";"445666";"4479948";"40.46655261519155";"-3.6422084742926653";"913 821 563 / 913 821 561 ";"";"csscarenal@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
11961;"Centro de Servicios Sociales Dehesa de la Villa";"";"   Atención al público : de lunes a viernes de 9 a 13 y de 15 a 19 horas, con petición de cita previa.   Petición de citas:    En el Centro de Servicios Sociales: presencial o telefónicamente de lunes a viernes en horario de 9 a 14 horas.    ";"  Información, orientación y asesoramiento sobre derechos y recursos sociales.  Tramitación y gestión de servicios sociales municipales (ayudas a domicilio, teleasistencia, centros de día municipales, pisos tutelados,  etc. ) y prestaciones económicas necesarias en la intervención social.  Gestión y tramitación de servicios y prestaciones de la Comunidad de Madrid (Dependencia, residencias de mayores, discapacitados, mujer, menores,  etc. ) Renta Mínima de Inserción (RMI) y diferentes prestaciones económicas de inserción social.  Información y gestión de los programas de prevención dirigidos a menores, adolescentes, adultos, mayores,  etc.   zona wifi  ";" Metro: Antonio Machado (línea 7), Valdezarza (línea 7)  Bus: 126, 127 y 132 ";"  Ambito de Actuación    Barrio Ciudad Universitaria  Barrio Valdezarza           ";"1";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=67d966051361c010VgnVCM1000000b205a0aRCRD";"ANTONIO MACHADO";"CALLE";"V";"22";"";"";"";"";"MADRID";"MADRID";"28035";"VALDEZARZA";"MONCLOA-ARAVACA";"439113";"4480061";"40.46711526748946";"-3.7195114936540987";"913 730 224 / 913 768 772 / 913 732 564";"";"cssdehesavilla@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
11954;"Centro de Servicios Sociales Eduardo Minguito";" Para evitarle esperas innecesarias y prestarle una atención de calidad, es necesario  solicitar cita previa , salvo en los casos de urgencia. Puede solicitar cita previa a través de los siguientes canales:   En el  Centro de Servicios Sociales : presencial o telefónicamente de lunes a viernes en horario de 9 a 14 horas.  A través de los  canales de Línea   Madrid:    En línea:  Servicio de Cita Previa    Presencial: en las  Oficinas de Atención al Ciudadano .  Telefónica: a través del 010 o del 915298210 (consulte coste de la llamada en la  página de información del 010 )    ";"   Atención al público : de lunes a viernes de 9 a 13 y de 15 a 19 horas, con petición de cita previa.  ";"  Información, orientación y asesoramiento sobre derechos y recursos sociales.  Tramitación y gestión de servicios sociales municipales (ayudas a domicilio, teleasistencia, centros de día municipales, pisos tutelados,  etc. ) y prestaciones económicas necesarias en la intervención social  Gestión y tramitación de servicios y prestaciones de la Comunidad de Madrid (Dependencia, residencias de mayores, discapacitados, mujer, menores,  etc. ) Renta Mínima de Inserción (RMI) y diferentes prestaciones económicas de inserción social  Información y gestión de los programas de prevención dirigidos a menores, adolescentes, adultos, mayores,  etc.   Zona wifi  ";" Metro: Villaverde Bajo Cruce (línea 3)  Bus: 85, 123  Renfe: Villaverde Bajo ";"  Ambito de Actuación    Barrio de San Cristóbal  Barrio de Butarque  Barrio de Los Rosales   ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6c3c66051361c010VgnVCM1000000b205a0aRCRD";"LEONOR GONGORA";"CALLE";"V";"62";"";"";"";"";"MADRID";"MADRID";"28021";"LOS ROSALES";"VILLAVERDE";"441806";"4466878";"40.34854935708132";"-3.686539661954902";"917 109 356";"";"csseduardominguito@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
11957;"Centro de Servicios Sociales Entrevías";" Para evitarle esperas innecesarias y prestarle una atención de calidad, es necesario  solicitar cita previa , salvo en los casos de urgencia. Puede solicitar cita previa a través de los siguientes canales: 
 
 En el  Centro de Servicios Sociales : presencial o telefónicamente de lunes a viernes en horario de 9 a 14 horas. 
 A través de los  canales de Línea   Madrid: 
 
 En línea:  Servicio de Cita Previa   
 Presencial: en las  Oficinas de Atención al Ciudadano . 
 Telefónica: a través del 010 o del 915298210 (consulte coste de la llamada en la  página de información del 010 ) 
 
 
 ";" 
  Atención al público : de lunes a viernes de 9 a 13 y de 15 a 19 horas, con petición de cita previa. 
  Petición de citas: 
 
 En el Centro de Servicios Sociales: presencial o telefónicamente de lunes a viernes en horario de 9 a 14 horas. 
 
 
 ";" 
 Información, orientación y asesoramiento sobre derechos y recursos sociales. 
 Tramitación y gestión de servicios sociales municipales (ayudas a domicilio, teleasistencia, centros de día municipales, pisos tutelados,  etc. ) y prestaciones económicas necesarias en la intervención social. 
 Gestión y tramitación de servicios y prestaciones de la Comunidad de Madrid (Dependencia, residencias de mayores, discapacitados, mujer, menores,  etc. ) Renta Mínima de Inserción (RMI) y diferentes prestaciones económicas de inserción social. 
 Información y gestión de los programas de prevención dirigidos a menores, adolescentes, adultos, mayores,  etc.  
 Zona wifi 
 ";" Bus: 102, 103 y 111 
 Renfe: Asamblea de Madrid-Entrevías ";"  Ambito de Actuación  
 
 Barrios Entrevias 
 Barrio el Pozo 
 ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bdf966051361c010VgnVCM1000000b205a0aRCRD";"YUSTE";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28053";"ENTREVIAS";"PUENTE DE VALLECAS";"443295";"4469960";"40.37641666740886";"-3.6692821142332264";"915 079 270     
Teléfono cita previa: 915 079 271";"";"cssentrevias@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
11979;"Centro de Servicios Sociales Fuente Carrantona";" Para evitarle esperas innecesarias y prestarle una atención de calidad, es necesario  solicitar cita previa , salvo en los casos de urgencia. Puede solicitar cita previa a través de los siguientes canales:   En el  Centro de Servicios Sociales : presencial o telefónicamente de lunes a viernes en horario de 9 a 14 horas.  A través de los  canales de Línea   Madrid:    En línea:  Servicio de Cita Previa    Presencial: en las  Oficinas de Atención al Ciudadano .  Telefónica: a través del 010 o del 915298210 (consulte coste de la llamada en la  página de información del 010 )    ";"   Atención al público : de lunes a viernes de 9 a 13 y de 15 a 19 horas, con petición de cita previa.  ";"  Información, orientación y asesoramiento sobre derechos y recursos sociales.  Tramitación y gestión de servicios sociales municipales (ayudas a domicilio, teleasistencia, centros de día municipales, pisos tutelados,  etc. ) y prestaciones económicas necesarias en la intervención social.  Gestión y tramitación de servicios y prestaciones de la Comunidad de Madrid (Dependencia, residencias de mayores, discapacitados, mujer, menores,  etc. ) Renta Mínima de Inserción (RMI) y diferentes prestaciones económicas de inserción social.  Información y gestión de los programas de prevención dirigidos a menores, adolescentes, adultos, mayores,  etc.   ";" Metro : Pavones (línea 9)  Bus: 8, 20, 30, 32, 71, 100, 140, 142 y 144 ";"  Ambito de Actuación    Barrio Pavones  Barrio Horcajo  Barrio Marroquina  Barrio Media Legua  Barrio Fontarrón  Barrio Vinateros            ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=042a66051361c010VgnVCM1000000b205a0aRCRD";"FUENTE CARRANTONA";"CALLE";"V";"12";"";"";"";"";"MADRID";"MADRID";"28030";"PAVONES";"MORATALAZ";"446191";"4472756";"40.40179722425483";"-3.6354058846496793";"915 887 462 / 915 880 462 / 915 887 469";"";"cssfcarrantona@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
6255479;"Centro de Servicios Sociales Fuerte de Navidad";" Para evitarle esperas innecesarias y prestarle una atención de calidad, es necesario  solicitar cita previa , salvo en los casos de urgencia. Puede solicitar cita previa a través de los siguientes canales:   En el  Centro de Servicios Sociales : presencial o telefónicamente de lunes a viernes en horario de 9 a 14 horas.  A través de los  canales de Línea   Madrid:    En línea:  Servicio de Cita Previa    Presencial: en las  Oficinas de Atención al Ciudadano .  Telefónica: a través del 010 o del 915298210 (consulte coste de la llamada en la  página de información del 010 )    ";"   Atención al público : de lunes a viernes de 9 a 13 y de 15 a 19 horas, con petición de cita previa.  ";"  Información, orientación y asesoramiento sobre derechos y recursos sociales.  Tramitación y gestión de servicios sociales municipales (ayudas a domicilio, teleasistencia, centros de día municipales, pisos tutelados,  etc. ) y prestaciones económicas necesarias en la intervención social.  Gestión y tramitación de servicios y prestaciones de la Comunidad de Madrid (Dependencia, residencias de mayores, discapacitados, mujer, menores,  etc. ) Renta Mínima de Inserción (RMI) y diferentes prestaciones económicas de inserción social.  Información y gestión de los programas de prevención dirigidos a menores, adolescentes, adultos, mayores,  etc.   ";" Metro: Aluche (línea 5)  Bus: 17, 34, 117 y 155  Renfe: Fanjul ";"  Ambito de actuación     Barrio Las Aguilas  Barrio Campamento  Barrio Cuatro Vientos  Barrio de Aluche  ";"1";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ff96857d40ef3310VgnVCM1000000b205a0aRCRD";"FUERTE DE NAVIDAD";"CALLE";"V";"15";"";"";"";"";"MADRID";"MADRID";"28044";"LAS AGUILAS";"LATINA";"435112";"4470487";"40.380566072889415";"-3.7657241589764547";"914 800 513 / 914 800 367";"";"cssfuertedenavidad@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
11981;"Centro de Servicios Sociales Gallur";" Para evitarle esperas innecesarias y prestarle una atención de calidad, es necesario  solicitar cita previa , salvo en los casos de urgencia. Puede solicitar cita previa a través de los siguientes canales:   En el  Centro de Servicios Sociales : presencial o telefónicamente de lunes a viernes en horario de 9 a 14 horas.  A través de los  canales de Línea   Madrid:    En línea:  Servicio de Cita Previa    Presencial: en las  Oficinas de Atención al Ciudadano .  Telefónica: a través del 010 o del 915298210 (consulte coste de la llamada en la  página de información del 010 )    ";"   Atención al público : de lunes a viernes de 9 a 13 y de 15 a 19 horas, con petición de cita previa.  ";"  Información, orientación y asesoramiento sobre derechos y recursos sociales.  Tramitación y gestión de servicios sociales municipales (ayudas a domicilio, teleasistencia, centros de día municipales, pisos tutelados,  etc. ) y prestaciones económicas necesarias en la intervención social.  Gestión y tramitación de servicios y prestaciones de la Comunidad de Madrid (Dependencia, residencias de mayores, discapacitados, mujer, menores,  etc. ) Renta Mínima de Inserción (RMI) y diferentes prestaciones económicas de inserción social.  Información y gestión de los programas de prevención dirigidos a menores, adolescentes, adultos, mayores,  etc.   ";" Metro: Laguna (línea 6)  Bus: 17, 25, 31, 55 y 119  Renfe: Laguna ";"  Ambito de actuación     Barrio Los Carmenes  Barrio Puerta del Ángel  ";"1";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a07a66051361c010VgnVCM1000000b205a0aRCRD";"GALLUR";"CALLE";"V";"24";"";"";"";"";"MADRID";"MADRID";"28047";"LOS CARMENES";"LATINA";"437206";"4472364";"40.39763562192633";"-3.741242653897222";"914 220 340";"";"cssgallur@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
