



PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
5949409;"Agencia de Zona de Arganzuela";" Agencia de Colocación Autorizada 1300000002 ";" De lunes a viernes de 8:30 a 14 horas. 
 
 Para empresas: sin cita previa. 
  Solicita tu   cita previa   (dentro de los tipos de servicio seleccionar empleo/autoempleo). Para más información sobre los seminarios profesionales o la atención individual consulta la información relacionada.   
 ";"  Para las personas desempleadas:  
 
 Orientación laboral a través de seminarios profesionales con asesoramiento (más información en documentación asociada) 
 Bolsa de Empleo. 
 Autoempleo. 
 
  Para las empresas:  
 
 Asesoramiento en gestión de Recursos Humanos. 
 Intermediación laboral. 
 ";" Metro: Puerta de Toledo 
 Bus: 3, 148, 41, C1, C2 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=845d9744cc0fd210VgnVCM1000000b205a0aRCRD";"TOLEDO";"RONDA";"V";"10";"";"";"";"";"MADRID";"MADRID";"28005";"ACACIAS";"ARGANZUELA";"439855";"4473291";"40.40618236504102";"-3.7101176695620346";"913 643 460 ";"";"azarganzuelaae@madrid.es";"/contenido/entidadesYorganismos/OficinasEmpleo"; 
5666151;"Agencia de Zona de Barajas";" Agencia de Colocación Autorizada 1300000002 ";" De lunes a viernes de 8:30 a 14 horas. 
 
 Para empresas: sin cita previa. 
  Solicita tu   cita previa   (dentro de los tipos de servicio seleccionar empleo/autoempleo). Para más información sobre los seminarios profesionales o la atención individual consulta la información relacionada.   
 ";"  Para las personas desempleadas:  
 
 Orientación laboral a través de seminarios profesionales con asesoramiento (más información en documentación asociada) 
 Bolsa de Empleo. 
 Autoempleo. 
 
  Para las empresas:  
 
 Asesoramiento en gestión de Recursos Humanos. 
 Intermediación laboral. 
 ";" Metro: Alameda de Osuna 
 Bus: 114, 115, 151 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=81e1cf4ee3448210VgnVCM2000000c205a0aRCRD";"CANTABRIA";"AVENIDA";"V";"6";"";"";"";"";"MADRID";"MADRID";"28042";"ALAMEDA DE OSUNA";"BARAJAS";"450284";"4478593";"40.45463575922803";"-3.587632115472542";"917 412 190";"";"azbarajasae@madrid.es";"/contenido/entidadesYorganismos/OficinasEmpleo"; 
5520471;"Agencia de Zona de Carabanchel";" Agencia de Colocación Autorizada 1300000002 ";" De lunes a viernes de 8:30 a 14 horas. 
 
 Para empresas: sin cita previa. 
  Solicita tu   cita previa   (dentro de los tipos de servicio seleccionar empleo/autoempleo). Para más información sobre los seminarios profesionales o la atención individual consulta la información relacionada.   
 ";"  Para las personas desempleadas:  
 
 Orientación laboral a través de seminarios profesionales con asesoramiento (más información en información relacionada) 
 Bolsa de Empleo. 
 Autoempleo. 
 
  Para las empresas:  
 
 Asesoramiento en gestión de Recursos Humanos. 
 Intermediación laboral. 
 ";" Bus: 108, 118, 155 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d01487d2102a5210VgnVCM1000000b205a0aRCRD";"CIDRO";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28044";"BUENAVISTA";"CARABANCHEL";"436798";"4469146";"40.36861554413506";"-3.74573026512817";"915 088 758";"";"azcarabanchelae@madrid.es";"/contenido/entidadesYorganismos/OficinasEmpleo"; 
4514901;"Agencia de Zona de Retiro";" Agencia de Colocación Autorizada 1300000002 ";" De lunes a viernes de 8:30 a 14 horas. 
 
 Para empresas: sin cita previa. 
  Solicita tu   cita previa   (dentro de los tipos de servicio seleccionar empleo/autoempleo). Para más información sobre los seminarios profesionales o la atención individual consulta la información relacionada.   
 ";"  Para las personas desempleadas:  
 
 Orientación laboral a través de seminarios profesionales con asesoramiento (más información en documentación asociada) 
 Bolsa de Empleo. 
 Autoempleo. 
 
  Para las empresas:  
 
 Asesoramiento en gestión de Recursos Humanos. 
 Intermediación laboral. 
 ";" Metro: Pacífico 
 Bus: 8, 10, 24, 37, 54, 56, 57, 141 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=65c9d91db2790110VgnVCM2000000c205a0aRCRD";"CIUDAD DE BARCELONA";"AVENIDA";"V";"164";"";"";"";"";"MADRID";"MADRID";"28007";"PACIFICO";"RETIRO";"442637";"4472845";"40.40236125879463";"-3.6772931748500297";"915 133 085";"";"azretiroae@madrid.es";"/contenido/entidadesYorganismos/OficinasEmpleo"; 
172696;"Agencia de Zona de Tetuán";" Agencia de Colocación Autorizada 1300000002 ";" De lunes a viernes de 8:30 a 14 horas. 
 
 Para empresas: sin cita previa. 
  Solicita tu   cita previa   (dentro de los tipos de servicio seleccionar empleo/autoempleo). Para más información sobre los seminarios profesionales o la atención individual consulta la información relacionada.   
 ";"  Para las personas desempleadas:  
 
 Orientación laboral a través de seminarios profesionales con asesoramiento (más información en documentación asociada) 
 Bolsa de Empleo. 
 Autoempleo. 
 
  Para las empresas:  
 
 Asesoramiento en gestión de Recursos Humanos. 
 Intermediación laboral. 
 ";" Metro: Alvarado 
 Bus: 124, 128, 3, 64, 66 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bd12ff632081c010VgnVCM1000000b205a0aRCRD";"JUAN PANTOJA";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28039";"";"TETUAN";"440425";"4478156";"40.4500495518789";"-3.703857334297647";"915 336 559 y 915 359 313";"";"aztetuanae@madrid.es";"/contenido/entidadesYorganismos/OficinasEmpleo"; 
172694;"Agencia de Zona de Vicálvaro";" Agencia de Colocación Autorizada 1300000002 ";" De lunes a viernes de 8:30 a 14 horas. 
 
 Para empresas: sin cita previa. 
  Solicita tu   cita previa   (dentro de los tipos de servicio seleccionar empleo/autoempleo). Para más información sobre los seminarios profesionales o la atención individual consulta la información relacionada.   
 ";"  Para las personas desempleadas:  
 
 Orientación laboral a través de una  entrevista de acogida,  que se completara con posteriores asesoramientos individualizados. 
 Bolsa de Empleo. 
 Autoempleo. 
 
  Para la primera cita es necesario  presentar la siguiente documentación: 
 
  DNI / NIE  (Permiso de trabajo) 
 Acreditación de experiencia laboral (vida laboral) 
 Acreditación de formación reglada y complementaria. 
 Carnéts profesionales (si se poseen) 
 Certificados (discapacidad, etcétera) 
 Currículum Vitae actualizado. 
 Tarjeta de la Demanda de Empleo. 
 
  Para las empresas:  
 
 Asesoramiento en gestión de Recursos Humanos. 
 Intermediación laboral. 
 ";" Metro: Vicálvaro 
 Bus: 4, 100, 106, 130 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f7613f6b3d91f010VgnVCM2000000c205a0aRCRD";"DAROCA";"AVENIDA";"V";"327";"";"";"";"";"MADRID";"MADRID";"28032";"AMBROZ";"VICALVARO";"448398";"4472969";"40.40385606143898";"-3.6094163274740048";"917 753 950";"";"azvicalvaroae@madrid.es";"/contenido/entidadesYorganismos/OficinasEmpleo"; 
172693;"Agencia de Zona de Villaverde";" Agencia de Colocación Autorizada 1300000002 ";" De lunes a viernes de 8:30 a 14 horas. 
 
 Para empresas: sin cita previa. 
  Solicita tu   cita previa   (dentro de los tipos de servicio seleccionar empleo/autoempleo). Para más información sobre los seminarios profesionales o la atención individual consulta la información relacionada.   
 ";"  Para las personas desempleadas:  
 
 Orientación laboral a través de una  entrevista de acogida,  que se completara con posteriores asesoramientos individualizados. 
 Bolsa de Empleo. 
 Autoempleo. 
 
  Para la primera cita es necesario  presentar la siguiente documentación: 
 
  DNI / NIE  (Permiso de trabajo) 
 Acreditación de experiencia laboral (vida laboral) 
 Acreditación de formación reglada y complementaria. 
 Carnéts profesionales (si se poseen) 
 Certificados (discapacidad, etcétera) 
 Currículum Vitae actualizado. 
 Tarjeta de la Demanda de Empleo. 
 
  Para las empresas:  
 
 Asesoramiento en gestión de Recursos Humanos. 
 Intermediación laboral. 
 ";" Metro: Ciudad de los Ángeles 
 Bus: 22, 86 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5a62ff632081c010VgnVCM1000000b205a0aRCRD";"OROVILLA";"AVENIDA";"V";"54";"";"";"";"";"MADRID";"MADRID";"28041";"LOS ROSALES";"VILLAVERDE";"441534";"4467999";"40.358565879253504";"-3.6898445513068863";"917 239 223";"";"azvillaverdeae@madrid.es";"/contenido/entidadesYorganismos/OficinasEmpleo"; 
185152;"Centro de la Agencia para el Empleo Jerte";"";" De lunes a viernes 9 a 15 horas. 
 Durante los meses de julio, agosto, septiembre y Semana de San Isidro el horario de atención será de 9 a 14 horas. ";"";" Bus: 3, 60, 148 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cb8dad69b8e5d010VgnVCM2000000c205a0aRCRD";"JERTE";"CALLE";"NUM";"3";"";"";"";"";"MADRID";"MADRID";"28005";"PALACIO";"CENTRO";"439398";"4473804";"40.41077050441227";"-3.715552056000273";"915 883 056 ";"";"";"/contenido/entidadesYorganismos/OficinasEmpleo"; 
185153;"Centro de la Agencia para el Empleo Los Cármenes";"";" De lunes a viernes de 9 a 15 horas. ";" 
 Gestión de las políticas municipales de empleo, mediante la intermediación laboral, la orientación y formación de trabajadores y el fomento del empleo estable y de calidad. 
 Áreas funcionales para llevar a cabo diversas actuaciones dirigidas al fomento del empleo. 
 Acceso a Internet a través de WiFi. 
 ";" BUS: 31, 55, 119, 17, 25 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=066dad69b8e5d010VgnVCM2000000c205a0aRCRD";"ALHAMBRA";"CALLE";"NUM";"89";"";"";"";"C/ GALLUR, 50";"MADRID";"MADRID";"28047";"LOS CARMENES";"LATINA";"437011";"4472192";"40.39607142096176";"-3.743523249563964";"914 225 407";"";"";"/contenido/entidadesYorganismos/OficinasEmpleo"; 
5520488;"Centro Especializado en el Sector Alimentario";" Agencia de Colocación Autorizada 1300000002 ";"  De atención a Empresas : de lunes a viernes de 8:30 a 14 horas (no es necesaria cita previa). 
  Para personas que buscan trabajo, especializadas en el sector:  entrevistas personalizadas lunes, miércoles y viernes sin cita previa (De 8:30 a 9:30 horas se entregan los números de orden de atención) ";"  Dirigidos a empresas:   
 
 Asesoramiento en gestión de Recursos Humanos. 
 Intermediación laboral, desde la determinación de las necesidades de personal hasta la incorporación de l trabajador. 
 
  Dirigidos a personas con formación y/o experiencia en el sector alimentario, que buscan empleo:  
 
 Bolsa de empleo. 
 ";" Autobuses: T-32 desde la Paza de Legazpi (24 horas) y 130 desde Vicálvaro y Villaverde (desde la Plaza de Ágata o Puente Alcocer) 
   ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=da78d06e632a5210VgnVCM1000000b205a0aRCRD";"Mercamadrid";"";"v";"";"";"";"";"";"MADRID";"MADRID";"28018";"VALDEFUENTES";"VILLA DE VALLECAS";"443937";"4468066";"40.359397848252364";"-3.661552967638453";"917 851 337      
917 869 377";"";"";"/contenido/entidadesYorganismos/OficinasEmpleo"; 
